Image_Name,Generation,Generation_Time_Seconds,Solution_ID,Obj1_Attack_Score,Obj2_Distortion_Score,Active_MMRs,MMR1_Rotation,MMR2_Scale,MMR3_HistEq,MMR4_Downsample,MMR5_Shear,MMR6_Translate,Original_Caption,Original_Categories,Transformed_Caption,Transformed_Categories
3753.jpg,1,75.893459,0,1.000000,1.937112,3,False,False,True,True,True,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,1,1.500000,2.458341,4,True,True,False,True,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 object","Trash:1, Objects:1, Animal:1, Vegetation:1"
3753.jpg,1,75.893459,2,0.000000,1.499383,3,True,True,False,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
3753.jpg,1,75.893459,3,1.000000,1.536848,3,False,True,True,True,False,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There is a fish swimming in the water.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,4,0.500000,1.297096,2,False,False,False,True,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One object is visible in the image, which is a yellow object.","Trash:0, Objects:2, Animal:0, Vegetation:0"
3753.jpg,1,75.893459,5,2.000000,2.011429,3,True,True,False,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 plastic bottle
4. Objects: 1 rock

In this underwater image, there are four visible objects:

1. One fish swimming in the water
2. One plant growing in the water
3. One plastic","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,1,75.893459,6,1.000000,2.825004,5,False,True,True,True,True,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There is a fish swimming in the water.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,7,1.000000,1.953073,4,True,False,True,False,True,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,8,0.500000,2.083549,5,True,True,True,True,True,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: One person is swimming underwater.,"Trash:0, Objects:0, Animal:0, Vegetation:0"
3753.jpg,1,75.893459,9,0.000000,1.320071,4,True,True,False,True,True,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
3753.jpg,1,75.893459,10,2.000000,1.042548,4,True,True,True,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 rock

In the underwater image, there is a fish swimming in the water, a plant, a piece of trash, and a rock. The image is taken from an underwater view","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,1,75.893459,11,2.000000,1.320307,3,False,True,True,True,False,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 rock

In this underwater image, there are four visible objects:

1. One fish
2. One plant
3. One piece of trash
4. One rock","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,1,75.893459,12,2.000000,1.675162,4,False,True,True,True,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 rock

In this underwater image, there are four visible objects:

1. One fish
2. One plant
3. One piece of trash
4. One rock","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,1,75.893459,13,1.000000,0.883944,2,False,False,True,True,False,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,14,1.000000,1.853998,4,True,True,False,False,True,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,15,2.000000,1.052310,2,True,False,False,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 plastic bottle
4. Objects: 1 rock","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,1,75.893459,16,1.000000,3.234844,5,True,True,True,True,True,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There is a fish swimming in the water.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,17,1.000000,0.131807,1,False,False,True,False,False,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,18,0.000000,0.760425,2,True,True,False,False,False,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
3753.jpg,1,75.893459,19,2.000000,1.228668,3,True,False,True,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 rock

In the underwater image, there is a fish swimming in the water, a plant, a piece of trash, and a rock. The image is taken from an underwater perspective","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,1,75.893459,20,1.000000,1.153024,2,True,False,False,True,False,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0",1. Animals: There are no visible animals in the underwater image.,"Trash:0, Objects:0, Animal:1, Vegetation:0"
3753.jpg,1,75.893459,21,0.000000,1.580741,3,True,False,False,True,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One object is visible in the image, which is a yellow swimsuit.","Trash:0, Objects:1, Animal:0, Vegetation:0"
3753.jpg,1,75.893459,22,2.000000,1.228963,3,True,False,True,False,False,True,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: 1 fish
2. Vegetation: 1 plant
3. Trash: 1 piece of trash
4. Objects: 1 rock","Trash:1, Objects:0, Animal:1, Vegetation:1"
3753.jpg,1,75.893459,23,0.000000,1.512184,3,True,True,False,True,False,False,"1. Animals: None
2. Vegetation: None
3. Trash: None
4. Objects: One yellow object","Trash:0, Objects:1, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: One object
4. Objects: One object","Trash:0, Objects:1, Animal:0, Vegetation:0"
