Image_Name,Generation,Selected_MMRs,Active_Count,Overall_Fitness,Obj1_Attack_Score,Obj2_Distortion_Score,MMR_Parameters,Original_Caption,Original_Categories,Transformed_Caption,Transformed_Categories
4534.jpg,1,"[""MMR3_HistEq"", ""MMR1_Rotation"", ""MMR6_Translate"", ""MMR2_Scale""]",4,nan,0.888889,2.966238,"{""MMR3_HistEq"": {""clip_limit"": 2.636683041189256}, ""MMR1_Rotation"": {""angle"": 2.618257597837248}, ""MMR6_Translate"": {""h_shift_pct"": -0.020185060381800082}, ""MMR2_Scale"": {""zoom_level"": 0.9600794505009436}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 2 bottles, a rock, and a stick
4. Objects: 1 rock, 2 bottles, and a stick","Trash:2, Objects:0, Animal:0, Vegetation:0"
4534.jpg,2,"[""MMR4_Downsample"", ""MMR1_Rotation"", ""MMR5_Shear"", ""MMR6_Translate"", ""MMR2_Scale"", ""MMR3_HistEq""]",6,nan,2.400000,2.804331,"{""MMR4_Downsample"": {""scale_factor"": 0.9890786658873416}, ""MMR1_Rotation"": {""angle"": -3.433795065224267}, ""MMR5_Shear"": {""h_shear"": -0.09449320259175431}, ""MMR6_Translate"": {""h_shift_pct"": 0.01503905465404045}, ""MMR2_Scale"": {""zoom_level"": 1.1608945412807095}, ""MMR3_HistEq"": {""clip_limit"": 1.3407873569488578}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals - 1 fish
2. Vegetation - 1 plant
3. Trash - 1 bottle
4. Objects - 1 rusty metal object","Trash:1, Objects:1, Animal:1, Vegetation:1"
4534.jpg,3,"[""MMR2_Scale"", ""MMR6_Translate"", ""MMR4_Downsample""]",3,nan,2.400000,2.117264,"{""MMR2_Scale"": {""zoom_level"": 1.2850639890374347}, ""MMR6_Translate"": {""h_shift_pct"": -0.016880506006944643}, ""MMR4_Downsample"": {""scale_factor"": 0.9395633180919966}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals - 1 fish
2. Vegetation - 1 plant
3. Trash - 1 bottle
4. Objects - 1 rock","Trash:1, Objects:1, Animal:1, Vegetation:1"
4534.jpg,4,"[""MMR2_Scale"", ""MMR6_Translate""]",2,nan,0.909091,1.415427,"{""MMR2_Scale"": {""zoom_level"": 0.814798703887335}, ""MMR6_Translate"": {""h_shift_pct"": 0.023942693067839034}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: 0
2. Vegetation: 1
3. Trash: 1
4. Objects: 1","Trash:0, Objects:0, Animal:0, Vegetation:0"
4534.jpg,5,"[""MMR4_Downsample"", ""MMR2_Scale"", ""MMR6_Translate""]",3,nan,0.909091,1.689517,"{""MMR4_Downsample"": {""scale_factor"": 0.9448254334859539}, ""MMR2_Scale"": {""zoom_level"": 1.2064427447804729}, ""MMR6_Translate"": {""h_shift_pct"": 0.01348887847058395}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 rock
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
4534.jpg,6,"[""MMR3_HistEq"", ""MMR6_Translate"", ""MMR4_Downsample"", ""MMR5_Shear"", ""MMR1_Rotation""]",5,nan,0.000000,4.849666,"{""MMR3_HistEq"": {""clip_limit"": 2.6786956939732005}, ""MMR6_Translate"": {""h_shift_pct"": 0.011182153770328433}, ""MMR4_Downsample"": {""scale_factor"": 0.906730506785936}, ""MMR5_Shear"": {""h_shear"": -0.13954594999700162}, ""MMR1_Rotation"": {""angle"": -4.676150846396327}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0"
4534.jpg,7,"[""MMR5_Shear"", ""MMR3_HistEq"", ""MMR2_Scale"", ""MMR6_Translate"", ""MMR1_Rotation"", ""MMR4_Downsample""]",6,nan,0.000000,4.134813,"{""MMR5_Shear"": {""h_shear"": 0.03153748141999613}, ""MMR3_HistEq"": {""clip_limit"": 2.957188509548703}, ""MMR2_Scale"": {""zoom_level"": 1.0409929013509405}, ""MMR6_Translate"": {""h_shift_pct"": 0.02846924789632118}, ""MMR1_Rotation"": {""angle"": 2.9856592072474797}, ""MMR4_Downsample"": {""scale_factor"": 0.9715375572495869}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 10 pieces of trash","Trash:10, Objects:0, Animal:0, Vegetation:0"
4534.jpg,8,"[""MMR2_Scale""]",1,nan,0.909091,0.625908,"{""MMR2_Scale"": {""zoom_level"": 0.8122275696434214}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Objects: 1
2. Trash: 1
3. Vegetation: 0
4. Animals: 0","Trash:0, Objects:0, Animal:0, Vegetation:0"
4534.jpg,9,"[""MMR4_Downsample"", ""MMR1_Rotation"", ""MMR3_HistEq"", ""MMR2_Scale""]",4,nan,0.888889,2.819464,"{""MMR4_Downsample"": {""scale_factor"": 0.9158188348319517}, ""MMR1_Rotation"": {""angle"": -0.2848370398693598}, ""MMR3_HistEq"": {""clip_limit"": 2.2811077928011123}, ""MMR2_Scale"": {""zoom_level"": 0.8081267514518395}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 2 pieces of trash
4. Objects: 1 piece of trash","Trash:2, Objects:0, Animal:0, Vegetation:0"
4534.jpg,10,"[""MMR4_Downsample"", ""MMR6_Translate"", ""MMR3_HistEq"", ""MMR1_Rotation"", ""MMR5_Shear"", ""MMR2_Scale""]",6,nan,0.909091,3.696719,"{""MMR4_Downsample"": {""scale_factor"": 0.9224729723481911}, ""MMR6_Translate"": {""h_shift_pct"": 0.0010508341533256894}, ""MMR3_HistEq"": {""clip_limit"": 2.103638098501885}, ""MMR1_Rotation"": {""angle"": -3.1066207415439253}, ""MMR5_Shear"": {""h_shear"": 0.07409729840389212}, ""MMR2_Scale"": {""zoom_level"": 0.7997569499609585}}","1. Animals: None
2. Vegetation: None
3. Trash: 10 pieces of trash
4. Objects: 1 rock","Trash:10, Objects:0, Animal:0, Vegetation:0","1. Animals: None
2. Vegetation: None
3. Trash: 1 rock
4. Objects: 1 rock","Trash:0, Objects:0, Animal:0, Vegetation:0"
